,AÃ‘O,SEMESTRE,N_VICTIMAS,Total Poblacion,tasa,Tasa Anterior,VARIACION_TASA
0,2016,1,66,3002178,2.198403958725965,0.0,0.0
1,2016,2,80,3002178,2.664732071182988,2.198403958725965,21.21
2,2017,1,75,3021444,2.482256828192083,2.664732071182988,-6.85
3,2017,2,78,3021444,2.5815471013197664,2.482256828192083,4.0
4,2018,1,75,3040889,2.466384008097632,2.5815471013197664,-4.46
5,2018,2,85,3040889,2.7952352091773163,2.466384008097632,13.33
6,2019,1,59,3060508,1.9277845377303375,2.7952352091773163,-31.03
7,2019,2,47,3060508,1.5356927673445064,1.9277845377303375,-20.34
8,2020,1,30,3080306,0.9739292135261887,1.5356927673445064,-36.58
9,2020,2,55,3080306,1.785536891464679,0.9739292135261887,83.33
10,2021,1,54,3100282,1.741777038346834,1.785536891464679,-2.45
11,2021,2,42,3100282,1.35471547426976,1.741777038346834,-22.22
